frame,x1,y1,x2,y2,box_prob,emotion0,emotion1,emotion2,emotion3,emotion4,emotion5,emotion6,emotion7,emotion8,valence,arousal
0,734,219,819,333,0.9999981,0.17688297772381278,0.014900478152778791,0.4830253596574092,0.14528399333794617,0.017995396168089105,0.0021409377838710426,0.0,0.0,0.15977085717609285,645,438
0,447,252,525,350,0.9999981,0.09567779040845568,0.18501933902973022,0.012191988194231267,0.19655799327987147,0.0016286497257262601,0.027356869724012866,0.0,0.0,0.4815673696379722,366,514
1,732,218,818,334,0.9999949,0.14552155699501243,0.009906820404467217,0.5725355965646237,0.12049023527684134,0.01122607334133428,0.0021386962279266617,0.0,0.0,0.1381810211897943,665,418
1,449,251,526,348,0.99999726,0.1626143577041125,0.13965676278570222,0.024286765557725853,0.07515394504284867,0.00043564456045671923,0.024470521103366574,0.0,0.0,0.5733820032457875,434,523
2,732,217,819,334,0.9999976,0.14885414684529738,0.014012875540954933,0.5599759646978082,0.1075729695059656,0.011984096475894426,0.0013392377470688602,0.0,0.0,0.15626070918701065,666,424
2,447,250,524,349,0.99999917,0.1677926184534912,0.1832785771101552,0.02696942966668863,0.10143078285089745,0.001968620056260224,0.03228592417723656,0.0,0.0,0.48627404768527077,430,536
3,731,218,820,337,0.99999964,0.2535093393355427,0.008529425486476967,0.5762465520394198,0.027507576729595175,0.003815016659081811,0.0013862420855270052,0.0,0.0,0.1290058476643566,741,444
3,449,251,525,348,0.9999974,0.22465166652940446,0.10545536271715089,0.050217439338217935,0.06390047452423797,0.0008775307294278035,0.021316359461326054,0.0,0.0,0.5335811667002349,478,506
4,731,218,819,337,0.9999995,0.2724765694916709,0.007784299531729318,0.5633064234377181,0.026308999969358437,0.0031660841259345536,0.0011815339769391789,0.0,0.0,0.12577608946664956,735,459
4,448,251,524,349,0.99999666,0.14153250744803114,0.16015662101475217,0.03067667107398736,0.1333145908685257,0.0022557419281944986,0.021690232629606853,0.0,0.0,0.5103736350369023,424,520
5,731,218,819,336,0.9999994,0.32324223028479254,0.007144781582168029,0.500374635289103,0.025992599428566965,0.0029500712428445204,0.001257978081004978,0.0,0.0,0.13903770409152003,723,447
5,447,249,524,349,0.99999774,0.17261658882208356,0.1153520512962573,0.04790471570042909,0.10263172699579909,0.0016136421146168522,0.020630415855643403,0.0,0.0,0.5392508592151707,473,502
6,731,216,819,337,0.99999905,0.30320043804815244,0.011784245817037742,0.4358634260669992,0.043946230998515357,0.004885632310012206,0.001861524623327306,0.0,0.0,0.1984585021359557,682,443
6,446,250,524,349,0.9999982,0.14780287640745843,0.1145016715225287,0.04467539548559523,0.09841480981783107,0.001772986515672,0.027550444372551358,0.0,0.0,0.5652818158783632,469,507
7,731,216,820,337,0.9999987,0.293505798407515,0.008892995625261177,0.4403242329205605,0.029285748611355238,0.002598502533852272,0.0016245094013835077,0.0,0.0,0.22376821250007228,710,449
7,450,252,525,347,0.999997,0.21772569492725982,0.06660058372243276,0.058006867965590514,0.05099339055646036,0.000525866927988021,0.012438482647637748,0.0,0.0,0.5937091132526308,492,488
8,732,216,820,337,0.9999994,0.2872691316341818,0.011338903276253164,0.4361823446946515,0.022447956128140302,0.0038317353295348466,0.00178830638359537,0.0,0.0,0.237141622553643,707,458
8,448,250,526,349,0.999997,0.17482469982054016,0.12574860457997372,0.026741188028853335,0.06434712561232053,0.00099754112341821,0.018137244514004763,0.0,0.0,0.5892035963208893,442,527
9,731,215,820,337,0.9999993,0.3123417451593121,0.011950144371737505,0.4318777558448676,0.023554611611090154,0.004638451550252737,0.002397594938834457,0.0,0.0,0.21323969652390545,711,451
9,447,250,527,350,0.9999975,0.18699499171208558,0.20143777882448505,0.01913170401497573,0.06459862234438293,0.001669539200869918,0.024804246604600795,0.0,0.0,0.5013631172986,407,562
10,732,216,821,338,0.99999917,0.26195313806867454,0.010633865079191495,0.5282441232509896,0.014415185502499367,0.0055885639368904415,0.003247816492048477,0.0,0.0,0.17591730766970612,734,462
10,447,250,525,349,0.99999857,0.22835316231825348,0.18987813981000248,0.021387979826457387,0.05529344567698967,0.0017120037578643138,0.018551942341162572,0.0,0.0,0.4848233262692701,410,558
11,731,215,821,337,0.9999988,0.2759225672239512,0.008278051445606768,0.5927382675707545,0.009447536361722964,0.0066055457560524064,0.0026962486499005145,0.0,0.0,0.10431178299201158,784,468
11,447,250,525,349,0.9999987,0.2639322206220206,0.13803776708161722,0.027624025159441155,0.04397078851646492,0.001215380000027672,0.019728933834222737,0.0,0.0,0.5054908847862057,437,545
12,732,215,821,337,0.99999833,0.23001174211015088,0.006494247236626389,0.6566774725865473,0.007550702758842424,0.004556673496165189,0.002469202458719306,0.0,0.0,0.09223995935294851,804,471
12,447,250,525,349,0.9999988,0.26786356362968966,0.14066879030411608,0.027036924968882263,0.041352091982554684,0.0011945721568766697,0.018910038650515496,0.0,0.0,0.5029740183073652,433,547
13,732,216,821,337,0.99999917,0.17516205275036673,0.004485582229049702,0.7159053303239832,0.004747921348892602,0.003941660537687456,0.0032273934372128677,0.0,0.0,0.09253005937280749,816,473
13,447,250,524,349,0.9999988,0.26943429125155166,0.10961821940536023,0.035652334172595564,0.04132360411602129,0.0017604426641568494,0.024073676083737262,0.0,0.0,0.5181374323065772,456,535
14,732,216,821,338,0.9999994,0.16968244188462414,0.005846389478265006,0.7025576756926977,0.007531532766205049,0.0034647643526344047,0.003250646561031592,0.0,0.0,0.10766654926454214,796,479
14,447,250,524,348,0.99999666,0.33506273759010546,0.09063225174995633,0.05039537703909657,0.03522942852263588,0.0012332792155753233,0.019613520783688977,0.0,0.0,0.46783340509894145,476,534
15,734,217,822,333,0.9999995,0.14474711644930555,0.005978658985399064,0.738590504452372,0.008156562779331713,0.005559336137783585,0.0033096986228319985,0.0,0.0,0.09365812257297611,811,483
15,450,250,526,346,0.9999927,0.40771793483134555,0.06872275833104576,0.05863828147876119,0.017053588259029025,0.00040506623138076046,0.009766457184683186,0.0,0.0,0.4376959136837545,493,527
16,734,218,822,334,0.99999976,0.14229940255687848,0.005992492354275689,0.7632068002143817,0.0040604440641800466,0.005766538124854058,0.004460763770278327,0.0,0.0,0.07421355891515169,831,486
16,450,251,525,347,0.99999285,0.42932796805489143,0.055122539922285455,0.06467344365055339,0.015716697368831897,0.00033118977085277795,0.006571884773315949,0.0,0.0,0.4282562764592691,505,514
17,734,220,821,334,1.0,0.128204488231257,0.005185899199550872,0.7795351063434267,0.003922432918596566,0.0038617726157000004,0.004011141865314451,0.0,0.0,0.07527915882615438,825,491
17,447,250,527,350,0.99999523,0.2877967838925357,0.11249467701820987,0.03169661589642624,0.03246722949663812,0.0005208036495465315,0.014736760414788493,0.0,0.0,0.5202871296318551,434,535
18,734,220,822,335,1.0,0.14853684396664366,0.006480363107095056,0.7377137438713516,0.00476591142687139,0.003943227176416286,0.005287836697588162,0.0,0.0,0.0932720737540339,811,481
18,449,250,527,349,0.9999933,0.27775805205590465,0.12103090006935019,0.03457494330234095,0.03282954800173377,0.0006732996314900127,0.012932665188385846,0.0,0.0,0.5202005917507946,438,540
19,733,219,822,335,1.0,0.18279720702387675,0.006309851024247454,0.6879451818060617,0.009694348946233859,0.0036358141526622078,0.0045556644559053405,0.0,0.0,0.10506193259101274,780,474
19,448,250,527,349,0.9999932,0.27590039733369204,0.09958512880703521,0.04074882329084615,0.04066994027626511,0.0006554665702240322,0.013411401429097417,0.0,0.0,0.52902884229284,454,531
20,733,220,821,334,1.0,0.1655086279686115,0.00740378257231963,0.6909335854886722,0.012709960347372089,0.004708233291613047,0.004538846669969543,0.0,0.0,0.11419696366144202,769,475
20,447,249,527,349,0.99999154,0.35652392826638635,0.1113474360428978,0.03970507874149041,0.028131328305377006,0.0006266490624202226,0.00905896064331512,0.0,0.0,0.4546066189381131,447,540
21,734,218,821,333,0.9999999,0.16429366018349623,0.008264295679849612,0.712545149842788,0.00867017164202247,0.007876090632042934,0.0048905722341446925,0.0,0.0,0.09346005978565608,800,481
21,450,251,526,346,0.99999475,0.5252769749637888,0.036289946351662036,0.08901008490014847,0.01350758824718512,0.0003354570465034044,0.006590611502381532,0.0,0.0,0.3289893369883306,545,519
22,734,218,822,333,0.9999999,0.15726364083648248,0.0075814726016136865,0.7243929700994828,0.009173831218891875,0.00782195872332603,0.005379633191981691,0.0,0.0,0.08838649332822143,798,477
22,448,250,526,349,0.9999956,0.3212722570196554,0.11032039031106415,0.043344323000741446,0.042448223037448024,0.0012846085131230402,0.013323821253053555,0.0,0.0,0.46800637686491436,459,536
23,734,218,822,333,0.9999999,0.15812925894003366,0.007591351103162469,0.7195030919217189,0.010181290936116668,0.009083281288860013,0.006068237446835596,0.0,0.0,0.08944348836327275,798,477
